State ,State_Name,Region,County,State_Code,County_Code,Year_Span,Year,Measure_Name,Measure_Id,  Number_Of_Cases  ,  Population  ,   Number_Of_Cases_Per 100K_People   ,Confidence Interval Lower Bound,Confidence Interval Upper Bound,Data Release Year,fipscode
AL,Alabama,South,Alabama,1,0,2002,2002,Unemployment,23,"113,113","2,107,861"," 5,366 ",Uknown,Uknown,Uknown,1000
AL,Alabama,South,Alabama,1,0,2003,2003,Unemployment,23,"114,424","2,104,210"," 5,438 ",Uknown,Uknown,Uknown,1000
AL,Alabama,South,Alabama,1,0,2004,2004,Unemployment,23,"106,633","2,113,789"," 5,045 ",Uknown,Uknown,Uknown,1000
AL,Alabama,South,Alabama,1,0,2005,2005,Unemployment,23,"81,286","2,133,185"," 3,811 ",Uknown,Uknown,Uknown,1000
AL,Alabama,South,Alabama,1,0,2006,2006,Unemployment,23,"75,357","2,173,820"," 3,467 ",Uknown,Uknown,Uknown,1000
AL,Alabama,South,Alabama,1,0,2007,2007,Unemployment,23,"74,328","2,178,488"," 3,412 ",Uknown,Uknown,Uknown,1000
AL,Alabama,South,Alabama,1,0,2008,2008,Unemployment,23,"108,408","2,163,258"," 5,011 ",Uknown,Uknown,2010,1000
AL,Alabama,South,Alabama,1,0,2009,2009,Unemployment,23,"212,783","2,144,601"," 9,922 ",Uknown,Uknown,2011,1000
AL,Alabama,South,Alabama,1,0,2010,2010,Unemployment,23,"206,777","2,179,170"," 9,489 ",Uknown,Uknown,2012,1000
AL,Alabama,South,Alabama,1,0,2011,2011,Unemployment,23,"196,548","2,190,525"," 8,973 ",Uknown,Uknown,2013,1000
AL,Alabama,South,Alabama,1,0,2012,2012,Unemployment,23,"157,119","2,156,304"," 7,286 ",Uknown,Uknown,2014,1000
AK,Alaska,West,Alaska,2,0,2002,2002,Unemployment,23,"23,276","328,386"," 7,088 ",Uknown,Uknown,Uknown,2000
AK,Alaska,West,Alaska,2,0,2003,2003,Unemployment,23,"25,787","336,551"," 7,662 ",Uknown,Uknown,Uknown,2000
AK,Alaska,West,Alaska,2,0,2004,2004,Unemployment,23,"25,106","339,860"," 7,387 ",Uknown,Uknown,Uknown,2000
AK,Alaska,West,Alaska,2,0,2005,2005,Unemployment,23,"23,718","344,309"," 6,889 ",Uknown,Uknown,Uknown,2000
AK,Alaska,West,Alaska,2,0,2006,2006,Unemployment,23,"22,733","348,845"," 6,517 ",Uknown,Uknown,Uknown,2000
AK,Alaska,West,Alaska,2,0,2007,2007,Unemployment,23,"21,367","351,374"," 6,081 ",Uknown,Uknown,Uknown,2000
AK,Alaska,West,Alaska,2,0,2008,2008,Unemployment,23,"22,876","356,514"," 6,417 ",Uknown,Uknown,2010,2000
AK,Alaska,West,Alaska,2,0,2009,2009,Unemployment,23,"27,864","359,936"," 7,741 ",Uknown,Uknown,2011,2000
AK,Alaska,West,Alaska,2,0,2010,2010,Unemployment,23,"29,011","363,949"," 7,971 ",Uknown,Uknown,2012,2000
AK,Alaska,West,Alaska,2,0,2011,2011,Unemployment,23,"27,714","367,046"," 7,551 ",Uknown,Uknown,2013,2000
AK,Alaska,West,Alaska,2,0,2012,2012,Unemployment,23,"25,587","366,300"," 6,985 ",Uknown,Uknown,2014,2000
AZ,Arizona,West,Arizona,4,0,2002,2002,Unemployment,23,"161,645","2,674,361"," 6,044 ",Uknown,Uknown,Uknown,4000
AZ,Arizona,West,Arizona,4,0,2003,2003,Unemployment,23,"155,816","2,728,954"," 5,710 ",Uknown,Uknown,Uknown,4000
AZ,Arizona,West,Arizona,4,0,2004,2004,Unemployment,23,"138,686","2,788,965"," 4,973 ",Uknown,Uknown,Uknown,4000
AZ,Arizona,West,Arizona,4,0,2005,2005,Unemployment,23,"133,797","2,858,657"," 4,680 ",Uknown,Uknown,Uknown,4000
